,Fahrzeugklasse,Fahrzeugart_Code,Fahrzeugart,Marken_Code,Marke,Marke_und_Typ,Typ1,Typ2,Typ3,Typ4,Typengenehmigungs-Nr,Typengenehmigungs-Nr_Zusatz,Karosserieform_Code,Karosserieform,Farbe,Farbe_Zusatz,Sitzplätze,Sitzplätze_vorne,Stehplätze,Leergewicht,Nutzlast,Gesamtgewicht,Gesamtzugsgewicht,Anhängelast,Dachlast,Tankinhalt_Aufbaus,Hubraum,Zylinder,Leistung,Motorkennzeichen,Treibstoff_Code,Treibstoff,CO2,Emissionscode,Energieeffizienzkategorie,Getriebe_Code,Getriebe,Getriebe_Detailcode,Antrieb_Code,Antrieb,Achsen,Erstinverkehrsetzung_Jahr,Erstinverkehrsetzung_Monat,Erstinvekehrsetzung_Kanton,Erstinverkehrsetzung_Staat,Gebrauchtcode,Ersterfassung_Jahr,Ersterfassung_Monat,Schildfarbe_Code,Schildfarbe,Schildart_Code,Schildart,Inverkehrsetzung_Status_Code,Inverkehrsetzung_Kanton,PLZ,Ort,BFS-Gemeinde-Nr,Staat_Code,Staat,Halterart_Code,Halterart,Besondere_Verwendung_Code,Besondere_Verwendung,Unnamed: 63
5440510,N1,30,Lieferwagen,7309,TOYOTA,TOYOTA Dyna 150,Dyna 150,Dyna,150,,X,,238,Brücke mit Ladekran,Weiss,,3,3,0,2420,1080,3500,0,0,0,0,2982,4,100.0,,D,Diesel,,B04,,M,Mechanisch,,H,Hinterrad,2,2012,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1346,CH,Schweiz,3,juristisch,,,
2619156,M1,1,Personenwagen,5001,LAND ROVER,LAND ROVER RR Evoque Si4,RR Evoque Si4,RR,Evoque,Si4,1LC640,,161,Stationswagen,Schwarz,,5,2,0,1885,465,2350,0,0,75,0,1999,4,177,204PT,B,Benzin,181.0,B5b,G,A,Automat,A9,A,Allrad,2,2014,4,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5049,CH,Schweiz,3,juristisch,,,
5495008,M1,1,Personenwagen,5090,TRIUMPH,TRIUMPH SPITFIRE IV,SPITFIRE IV,SPITFIRE,IV,,071519,,175,Offen,Rot,,2,2,0,770,242,1012,0,0,0,0,1295,4,47.1,,B,Benzin,,000,,M,Mechanisch,,H,Hinterrad,2,1972,8,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,420,CH,Schweiz,1,männlich,,,
5050205,,60,Motorrad,7102,SUZUKI,SUZUKI GSF600,GSF600,GSF600,,,6SA229,,0,---,Grau,,2,1,0,301,139,440,0,0,0,0,600,4,57.0,,B,Benzin,,C00,,M,Mechanisch,M6,H,Hinterrad,2,2003,6,Kanton,,,,,1.0,Weiss (Motorrad),N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,158,CH,Schweiz,2,weiblich,,,
3457486,M1,1,Personenwagen,5063,NISSAN,NISSAN Qashqai,Qashqai,Qashqai,,,1NA925,,161,Stationswagen,Weiss,,5,2,0,1600,430,2030,0,0,75,0,1598,4,96,R9M,D,Diesel,133.0,B6b,D,M,Mechanisch,M6,A,Allrad,2,2016,2,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4045,CH,Schweiz,2,weiblich,,,
5560438,L3,60,Motorrad,3035,VESPA,Vespa Primavera 125,Primavera 125,Primavera,125,,,X,285,Roller,Schwarz,,2,0,0,205,100,305,0,0,0,0,124,1,7.9,,B,Benzin,,C03,,A,Automat,,H,Hinterrad,2,2015,6,Kanton,,,,,1.0,Weiss (Motorrad),N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5586,CH,Schweiz,2,weiblich,,,
909227,M1,1,Personenwagen,3883,CHEVROLET,CHEVROLET Spark 1.2,Spark 1.2,Spark,1.2,,1CA820,,163,Limousine,Gelb,,5,2,0,1044,323,1367,0,0,50,0,1206,4,60.0,B12D1,B,Benzin,118.0,B5b,E,M,Mechanisch,M5,V,Vorderrad,2,2014,11,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,4034,CH,Schweiz,3,juristisch,,,
4601533,M1,1,Personenwagen,6903,SEAT,SEAT Ibiza,Ibiza,Ibiza,,,1SB812,,163,Limousine,Schwarz,,5,2,0,1316,411,1727,0,0,50,0,1896,4,96.0,,D,Diesel,138.0,B03,E,M,Mechanisch,M6,V,Vorderrad,2,2005,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,5221,CH,Schweiz,1,männlich,,,
3619791,M1,1,Personenwagen,4050,OPEL,OPEL Meriva A 16,Meriva A 16,Meriva,A,16,1OB180,,163,Limousine,Grau,,5,2,0,1375,480,1855,0,0,75,0,1598,4,77.0,Z16XEP,B,Benzin,161.0,B04,G,M,Mechanisch,M5,V,Vorderrad,2,2008,1,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,6033,CH,Schweiz,2,weiblich,,,
924687,M1,1,Personenwagen,5652,CHRYSLER,CHRYSLER PT Cruiser CRD,PT Cruiser CRD,PT,Cruiser,CRD,1CB911,,163,Limousine,Blau,,5,2,0,1613,367,1980,0,0,68,0,2148,4,89.0,,D,Diesel,185.0,B03,G,M,Mechanisch,M5,V,Vorderrad,2,2003,6,Kanton,,,,,0.0,Weiss,N,Normalschild,I,Kanton_Kürzel,PLZ,Gemeinde,1323,CH,Schweiz,3,juristisch,,,
